Datetime,Close,High,Low,Open,Volume,EMA_5,EMA_15,Returns,EMA_5_Slope,EMA_15_Slope,Rolling_Return_20,Rolling_Volatility_20,Volatility_Ratio
2025-10-24 07:55:00+00:00,25771.5,25797.900390625,25770.400390625,25792.80078125,0.0,25797.454720313097,25816.635031934547,-0.0008258421189173415,-12.977360156543,-6.447861704935349,-0.00011987215779525328,0.0005908715736089202,0.6698586715212176
2025-10-24 08:00:00+00:00,25755.900390625,25784.80078125,25755.900390625,25771.0,0.0,25783.603277083734,25809.043201770855,-0.0006053046727975131,-13.851443229363213,-7.591830163692066,-0.00015023567728455478,0.0005998164853588489,0.7164943842294438
2025-10-24 08:05:00+00:00,25736.0,25774.099609375,25732.55078125,25755.55078125,0.0,25767.735518055822,25799.912801549497,-0.0007726536569555575,-15.867759027911234,-9.130400221358286,-0.0001662248570258984,0.0006124377519049043,0.7389206190823436
2025-10-24 08:10:00+00:00,25724.400390625,25745.55078125,25722.0,25736.44921875,0.0,25753.290475578884,25790.473750183934,-0.0004507153160941968,-14.445042476938397,-9.4390513655635,-0.00018846941419982112,0.0006143815904276898,0.7134338022883496
2025-10-24 08:15:00+00:00,25730.0,25737.5,25723.349609375,25724.400390625,0.0,25745.526983719257,25782.91453141094,0.00021767696389307645,-7.763491859626811,-7.559218772992608,-0.00023635332274394295,0.0005346376116769811,0.8247655202456462
2025-10-24 08:20:00+00:00,25739.900390625,25739.900390625,25718.650390625,25730.150390625,0.0,25743.65145268784,25777.5377638127,0.00038478004760977846,-1.8755310314154485,-5.376767598241713,-0.0002141149755352012,0.0005513486243712819,0.7944064820620966
2025-10-24 08:25:00+00:00,25739.599609375,25747.25,25728.150390625,25740.05078125,0.0,25742.30083825023,25772.795494507987,-1.1685408468409264e-05,-1.3506144376115117,-4.742269304711954,-0.0001949718929372235,0.0005514007830045713,0.8205659496594694
2025-10-24 08:30:00+00:00,25743.849609375,25746.30078125,25733.75,25739.44921875,0.0,25742.817095291823,25769.177258866363,0.00016511523351181445,0.5162570415923255,-3.6182356416247785,-0.0002407969136650534,0.00047210625391639276,0.7899907119673109
2025-10-24 08:35:00+00:00,25744.69921875,25753.150390625,25736.19921875,25744.0,0.0,25743.444469777885,25766.117503851816,3.300242146742072e-05,0.627374486062763,-3.059755014546681,-0.00019150443973293686,0.00044450787063495586,0.826246757050032
2025-10-24 08:40:00+00:00,25755.400390625,25774.400390625,25744.55078125,25744.599609375,0.0,25747.429776726924,25764.777864698463,0.0004156650572637588,3.985306949038204,-1.339639153353346,-0.00015775630458301771,0.0004642729370154064,0.8500807769251579
