Datetime,Close,High,Low,Open,Volume,EMA_5,EMA_15,Returns,Future_Return,Target,Signal,Strategy_Return,Cumulative_Return,ML_Pred,ML_Signal,ML_Return,ML_Cumulative
2025-10-24 03:50:00+00:00,25886.0,25892.400390625,25840.400390625,25851.150390625,0.0,25862.533854166668,25855.20068359375,0.0013616297246594,1.54674582786285e-05,1,1,,,0,0,,
2025-10-24 03:55:00+00:00,25886.400390625,25893.30078125,25859.5,25886.30078125,0.0,25870.489366319445,25859.100646972656,1.54674582786285e-05,-0.0004249335494317,0,1,1.54674582786285e-05,1.0000154674582786,0,0,0.0,1.0
2025-10-24 04:00:00+00:00,25875.400390625,25887.599609375,25864.5,25885.849609375,0.0,25872.1263744213,25861.1381149292,-0.0004249335494317,0.0015033734758784,1,1,-0.0004249335494317,0.9995905273362049,0,0,-0.0,1.0
2025-10-24 04:05:00+00:00,25914.30078125,25914.69921875,25862.55078125,25876.150390625,0.0,25886.184510030867,25867.7834482193,0.0015033734758784,-0.0004167884497896,0,1,0.0015033734758784,1.0010932852217416,0,0,0.0,1.0
2025-10-24 04:10:00+00:00,25903.5,25913.30078125,25883.44921875,25913.19921875,0.0,25891.95634002058,25872.248017191887,-0.0004167884497896,-0.0007837080413843,0,1,-0.0004167884497896,1.000676041103299,0,0,-0.0,1.0
2025-10-24 04:15:00+00:00,25883.19921875,25904.150390625,25881.94921875,25903.5,0.0,25889.037299597057,25873.61691738665,-0.0007837080413843,-0.000691507929477,0,1,-0.0007837080413843,0.9998918032430658,0,0,-0.0,1.0
2025-10-24 04:20:00+00:00,25865.30078125,25883.75,25864.099609375,25883.75,0.0,25881.125126814703,25872.57740036957,-0.000691507929477,0.0010747537158026,1,1,-0.000691507929477,0.9992003701325042,0,0,-0.0,1.0
2025-10-24 04:25:00+00:00,25893.099609375,25894.0,25865.19921875,25865.69921875,0.0,25885.11662100147,25875.14267649525,0.0010747537158026,-0.0002780361895102,0,1,0.0010747537158026,1.0002742644431355,0,0,0.0,1.0
2025-10-24 04:30:00+00:00,25885.900390625,25901.900390625,25884.69921875,25893.19921875,0.0,25885.377877542647,25876.487390761467,-0.0002780361895102,0.0005949335504118,1,1,-0.0002780361895102,0.9999961519981846,0,0,-0.0,1.0
2025-10-24 04:35:00+00:00,25901.30078125,25902.650390625,25880.94921875,25885.599609375,0.0,25890.68551211177,25879.589064572538,0.0005949335504118,-0.0009691236247938,0,1,0.0005949335504118,1.000591083259291,0,0,0.0,1.0
